Alignment Theta Pi TajimasD PiN NumN PiS NumS
FUN_000147-T1 0.00526530311804 0.00382846976733 -0.886914147844 1.21604938272 539.777777778 1.34104938272 147.222222222
FUN_000151-T1 0.00179294336659 0.00184693456069 0.0946533760163 1.77777777778 1319.56481481 1.12037037037 294.435185185
FUN_000157-T1 0.0198128659583 0.0295215738878 1.73568102555 9.44290123457 343.768518519 2.78395061728 82.2314814815
FUN_000164-T1 0.014420983025 0.0209697832621 1.61166047232 8.16203703704 481.0 4.31481481481 122.0
FUN_000166-T1 0.0182113944692 0.0204900217348 0.463729779771 15.3402777778 971.398148148 9.15972222222 234.601851852
FUN_000167-T1 0.00502896577848 0.00358285651235 -0.973861592344 3.05864197531 828.296296296 0.91049382716 179.703703704
FUN_000170-T1 0.00373877337684 0.00526024363234 0.996781013016 0.71450617284 208.12962963 0.604938271605 49.8703703704
FUN_000180-T1 0.00149550935074 0.00161683277962 0.198710572738 0.399691358025 515.231481481 0.614197530864 129.768518519
FUN_000182-T1 0.00534520285845 0.00647505378963 0.731105079479 3.39969135802 954.935185185 3.98456790123 218.064814815
FUN_000184-T1 0.00955503497911 0.0194129979036 3.49405477374 8.56635802469 422.805555556 1.9737654321 108.194444444
FUN_000185-T1 0.00323382409893 0.00327647023049 0.0424437339863 0.912037037037 843.351851852 2.41358024691 200.648148148
FUN_000189-T1 0.00160233144722 0.00127265376435 -0.562179725472 1.06327160494 714.37962963 0.054012345679 188.62037037
FUN_000190-T1 0.00147492894683 0.000339789330615 -1.49542861119 0.054012345679 261.657407407 0.054012345679 65.3425925926
FUN_000191-T1 0.000828697191774 0.0012218403971 0.698535095541 0.345679012346 237.851851852 0.0 53.1481481481
FUN_000192-T1 0.00118211217062 0.00157173980703 0.640440177361 0.0 329.333333333 0.623456790123 78.6666666667
FUN_000197-T1 0.00297717139267 0.00134430727023 -1.43032217363 0.421296296296 322.462962963 0.108024691358 82.537037037
FUN_000198-T1 0.0052457645652 0.00714844265708 1.28207955281 6.53240740741 1277.22222222 4.33024691358 285.777777778
FUN_000200-T1 0.00149783157022 0.00182720431168 0.492444089975 0.104938271605 377.703703704 0.753086419753 105.296296296
FUN_000201-T1 0.00537137937101 0.00541624451199 0.0306333725937 10.5771604938 2425.67592593 5.65895061728 583.324074074
FUN_000206-T1 0.000604388177459 0.000666348410709 0.199197822841 0.277777777778 635.722222222 0.239197530864 162.277777778
FUN_000207-T1 0.0035058279951 0.00418665216173 0.6250211206 2.62345679012 776.444444444 1.2962962963 186.555555556
FUN_000208-T1 0.00411988979737 0.00636547709441 1.77150712944 5.08641975309 714.953703704 0.873456790123 164.046296296
FUN_000209-T1 0.00607550673736 0.00564784053156 -0.224063987371 1.93209876543 415.694444444 0.901234567901 100.305555556
FUN_000210-T1 0.00651759142719 0.00850850850851 0.912255777615 2.43364197531 285.148148148 0.320987654321 47.8518518519
FUN_000212-T1 0.00694673324956 0.00496440002613 -0.808443510459 1.17283950617 189.37037037 0.0 53.6296296296
FUN_000213-T1 0.00318260969013 0.00352055352055 0.376111768312 6.81481481481 2159.47222222 2.26234567901 492.527777778
FUN_000214-T1 0.00119086855707 0.00076817558299 -0.689681702932 0.0 315.666666667 0.302469135802 89.3333333333
FUN_000216-T1 0.00301149037126 0.00415504017809 1.20871312886 0.104938271605 829.268518519 4.10030864198 211.731481481
FUN_000218-T1 0.00229667507434 0.00311917359536 0.801987914646 0.0 252.666666667 0.95524691358 62.3333333333
FUN_000223-T1 0.00197540105638 0.000664126183975 -2.11294450506 0.970679012346 1275.39814815 0.054012345679 311.601851852
