Alignment Theta Pi TajimasD PiN NumN PiS NumS
M896_011350 0.00088592922902 0.00139236981342 1.84427289854 0.5 630.333333333 0.5 167.666666667
M896_011360 0.0 0.0 None 0.0 338.666666667 0.0 90.3333333333
M896_011370 0.00187454570959 0.00239898989899 1.28134190023 4.54 2144.3 1.16 495.7
M896_011380 0.00130630363037 0.00198735320687 2.09055264168 1.92 1081.0 0.5 272.0
M896_011410 0.00178915425644 0.00225757210573 1.19907799914 4.1 2228.5 1.52 537.5
M896_011420 0.00226593437422 0.00275403608737 0.775011873709 1.16 372.533333333 0.0 95.4666666667
M896_011430 0.00170766068782 0.00246913580247 1.78805407535 2.3 832.566666667 0.0 202.433333333
M896_011440 0.00133896122113 0.000757575757576 -1.11173317656 0.18 202.966666667 0.0 61.0333333333
M896_011460 0.00339890156134 0.00327635327635 -0.129722109698 0.74 242.533333333 0.18 69.4666666667
M896_011470 0.000973789979006 0.000877461483522 -0.35590560555 0.86 864.7 0.0 224.3
M896_011480 0.00130920652733 0.00150891632373 0.548828377857 0.42 646.666666667 0.68 163.333333333
M896_011520 0.0019107338507 0.00212212212212 0.398039380622 0.42 447.133333333 0.64 107.866666667
M896_011600 0.001732773345 0.00261437908497 1.3026779048 0.48 158.2 0.0 45.8
M896_011630 0.00159227820891 0.0024024024024 1.3026779048 0.48 173.8 0.0 48.2
M896_011650 0.00384746408032 0.00474678760393 1.00846054457 1.92 604.333333333 1.22 130.666666667
M896_011660 0.000467573759761 0.000705467372134 1.3026779048 0.48 605.2 0.0 150.8
M896_011680 0.00250699122255 0.0037037037037 1.97479427813 1.0 685.833333333 1.82 160.166666667
M896_011690 0.000927784153226 0.00145815106445 1.46363864356 0.5 307.333333333 0.0 73.6666666667
M896_011700 0.00252039759272 0.0038027332145 1.95338504403 0.96 450.066666667 0.96 110.933333333
M896_011710 0.000497167035695 0.000750117205813 1.3026779048 0.48 567.666666667 0.0 143.333333333
M896_011720 0.00163650815916 0.00181069958848 0.426810526847 0.42 855.0 1.34 225.0
M896_011740 0.00140830981027 0.00171167183119 0.775011873709 0.18 599.366666667 0.98 153.633333333
M896_011750 0.00110120175196 0.00173070266528 1.46363864356 0.0 250.666666667 0.5 70.3333333333
M896_011770 0.00310075230157 0.00331384015595 0.221711048181 0.18 183.666666667 0.5 44.3333333333
M896_011790 0.00507881842499 0.00772669220945 2.09055264168 1.92 281.433333333 0.5 66.5666666667
M896_011800 0.00303096044912 0.00397761105157 1.34749442866 1.1 745.766666667 2.24 187.233333333
M896_011820 0.00269322485622 0.00353439153439 1.34749442866 1.42 835.9 1.92 214.1
M896_011830 0.00209659408291 0.00210887043627 0.0234791050691 1.24 673.833333333 0.36 169.166666667
M896_011840 0.00154456949854 0.00185878762658 0.861666393355 0.82 1286.83333333 1.86 315.166666667
M896_011850 0.00131285334217 0.00136180748994 0.143162241034 0.66 855.6 0.66 221.4
M896_011880 0.000558429324453 0.000877654906091 1.46363864356 0.5 508.0 0.0 125.0
M896_011900 0.00331911513971 0.00427751695357 0.931581857715 0.82 172.833333333 0.0 40.1666666667
M896_011930 0.00404754689747 0.00452360757704 0.515017935537 2.36 626.066666667 0.84 159.933333333
M896_011940 0.000592103454571 0.000335008375209 -1.11173317656 0.18 475.0 0.0 122.0
M896_011960 0.0 0.0 None 0.0 610.666666667 0.0 151.333333333
M896_011970 0.00276160751859 0.00347222222222 1.12674117153 2.6 906.7 1.0 245.3
M896_011980 0.00249636837838 0.00389202762084 2.24180192484 1.0 554.166666667 1.48 153.833333333
M896_012000 0.00345538379647 0.00384490061909 0.499655045813 2.4 814.333333333 1.14 208.666666667
M896_012020 0.00392761958199 0.00617283950617 2.19474808443 2.0 293.333333333 0.0 66.6666666667
M896_012040 0.00366577827652 0.00375308641975 0.100879734669 0.82 539.666666667 1.46 135.333333333
M896_012060 0.00137009985418 0.0021533161068 1.46363864356 0.5 210.333333333 0.0 47.6666666667
M896_012070 0.00220716374204 0.00280712989647 1.23693188352 4.52 1651.46666667 0.74 430.533333333
M896_012080 0.00325493335524 0.00372416615511 0.578059810013 1.32 420.866666667 0.5 122.133333333
M896_012090 0.00459072418674 0.00721500721501 2.0567183502 1.0 185.833333333 0.5 45.1666666667
M896_012100 0.00226593437422 0.0026048026048 0.63343039575 2.56 863.266666667 0.0 228.733333333
M896_012110 0.00128074551587 0.00148953301127 0.525941395125 0.74 439.9 0.0 112.1
M896_012120 0.00174992951673 0.00262192885955 2.06148630532 2.36 972.266666667 0.5 239.733333333
M896_012130 0.00313612209969 0.00467539783129 2.07892504725 2.42 628.633333333 0.9 160.366666667
M896_012140 0.00150675943043 0.00193236714976 1.13264051496 2.04 930.366666667 0.0 242.633333333
M896_012150 0.000998547351353 0.0010462439841 0.171855884771 0.68 842.666666667 0.32 219.333333333
M896_012170 0.00210408191892 0.00313051146384 1.75514035573 1.42 407.666666667 0.0 96.3333333333
M896_012200 0.00264783342606 0.00382854764877 1.71202200363 0.42 420.333333333 1.42 113.666666667
M896_012210 0.00149150110708 0.00234411626817 2.0567183502 1.5 574.333333333 0.0 136.666666667
M896_012230 0.00187029503904 0.00229276895944 0.934489951905 1.16 909.033333333 1.18 224.966666667
M896_012240 0.00254764513426 0.004004004004 2.19474808443 1.0 452.833333333 1.0 102.166666667
M896_012250 0.00445196174281 0.00653045993096 2.15042108764 4.0 951.1 3.0 239.9
M896_012280 0.0018507107978 0.00227522461379 1.00439652433 2.42 1380.1 1.1 338.9
M896_012300 0.0 0.0 None 0.0 301.666666667 0.0 73.3333333333
M896_012360 0.0041709234499 0.0047197640118 0.505206801633 0.18 272.1 1.26 66.9
M896_012370 0.00240773614222 0.00255427841635 0.281746186944 3.32 1889.76666667 2.08 459.233333333
M896_012380 0.00262489427509 0.0034836817015 1.43260278953 2.48 939.1 1.32 272.9
M896_012390 0.0028974242818 0.00455373406193 2.0567183502 1.5 294.166666667 0.0 71.8333333333
M896_012400 0.000489592468669 0.000718169693239 1.67974585712 0.42 1702.9 0.98 463.1
M896_012410 0.00214233795381 0.003367003367 1.46363864356 0.5 128.666666667 0.0 36.3333333333
M896_012430 0.0020141638882 0.00288065843621 1.65168124353 1.32 567.233333333 0.5 134.766666667
M896_012440 0.00181274749938 0.00230199430199 1.08222408723 1.52 782.4 0.5 192.6
M896_012450 0.00158159177798 0.00203827989063 1.24578426344 0.82 1423.86666667 2.46 364.133333333
